3 Nights,Dominic Fike,Alternative
Africa,Toto,Alternative
Feel Good Inc.,Gorillaz,Alternative
Hell and Back,Bakar,Alternative
In Two,Nine Inch Nails,Alternative
Moog City,C418,Alternative
On a Beautiful Day,Skinny,Alternative
Rased el satr,mohamed chahine,Alternative
Say it ain't so,Weezer,Alternative
Star Scat,Caravan Palace,Alternative
That's Right!,SwinGrowers,Alternative
The Awakening,Les Claypool and the Holy Mackerel,Alternative
The Frost,Mitski,Alternative
Thinkin Bout You,Frank Ocean,Alternative
void,melanie martinez,Alternative
Yesterday,Imagine dragons ,Alternative
865,Morgan wallen,Country
Heartache medication ,Jon Pardi ,Country
Sarah’s Place ,Zach Bryan ,Country
Sunrise sunburn sunset,luke bryan ,Country
Ticking ,Zach Bryan ,Country
Burn burn burn,Zach Bryan ,Country
 Billie Jean,Michael Jackson,Pop
A Thousand Miles,Vannessa Carlton,Pop
Ain’t no mountain high enough,Marvin Gaye ,Pop
All I want for Christmas for you ,Mariah Carey,Pop
All the stars/clean ,"Kendrick Lamar,Sza",Pop
Bad Omens,5 Seconds of Summer,Pop
Best Interest,Tyler The Creator,Pop
best song ever ,one direction ,Pop
Blue tint,Drake,Pop
Broken clocks/clean,SZA,Pop
Brutal,Olivia Rodrigo,Pop
Can't take my eyes off you ,Bob Crewe,Pop
Cheeseburger Family,Jack Stauber,Pop
Classic,MKTO,Pop
Dancers To A Discordant System,Meshuggah,Pop
Dancing in the dark,Rihanna ,Pop
dancing queen,Abba ,Pop
enchanted ,Taylor swift ,Pop
Enloqueceme,OV7,Pop
Fabulous,"Sharpay Evans, Ryan, Disney",Pop
Falling,Harry Styles,Pop
Grapejuice ,Harry styles ,Pop
i forgot that you existed ,Taylor Swift ,Pop
Let Me Reintroduce myself,Gwen Stefani,Pop
loli pop,Darell,Pop
making the bed,Olivia Rodrigo,Pop
Mirrors ,Justin Timberlake ,Pop
Misery Buisness,Paramore,Pop
Money Make her smile,Bruno Mars,Pop
Nurses's office,Melanie martinez,Pop
Rock your body ,Justin Timberlake ,Pop
shake it off, taylor swifty,Pop
shut up my moms calling,hotel ugly,Pop
Sleepyhead,Passion Pit,Pop
Snowman ,Sia,Pop
Sonic the Hedgehog (2006) Medley - Live,FILMharmonic Orchestra Prague,Pop
summertime sadness,Lana Del ray,Pop
Sunroof,Nicky Youre & Dazy,Pop
Take on Me ,a-ha,Pop
That’s what I like ,Bruno mars ,Pop
Total Eclipse of the Heart,Bonnie Tyler,Pop
Call Me Maybe,Carly Rae Jepsen,Pop
Super Bass (clean) ,Nicki Minaj,Pop
All mine ,Brent faiyaz,R&B
always,keshi,R&B
Antisocial,Current Blue,R&B
Dark Red,Steve Lacy ,R&B
empire,Metropole orkest,R&B
Give it to me ,Miguel,R&B
Good Days,SZA,R&B
I heard it through the grapevine,Marvin Gaye,R&B
Peanut Butter & Tears,DPR IAN,R&B
Pink and White,Frank Ocean,R&B
Virginia Beach ,Drake,R&B
2055,Sleepy Hallow,Rap
Back on my feet,Young boy ,Rap
Good Morning,Kanye West,Rap
I know,Travis scott,Rap
Just wanna rock,Lil uzi vert,Rap
Lavar ball,Babytron,Rap
LOVE.,Kendrick Lamar ,Rap
No Role Modelz,J. Cole,Rap
Oh you went,Young thug,Rap
open arms,SZA/ travis scott,Rap
Passionfruit ( clean) ,Drake,Rap
See you again (clean),Tyler the Creator ,Rap
Too legendary ,Rio da young og,Rap
United In Grief,Kendrick Lamar,Rap
Up,Nav,Rap
Blue hair,tv girl,Rock
Culling Voices,Tool,Rock
Defying Gravity,Matt Copley and Noise Machine,Rock
Deli,Ice Spice,Rock
Dirty,Korn,Rock
Everybody Wants to rules the world,Tears for fears,Rock
Fade into You,Mazzy Star,Rock
Heart to Heart,Mac Demarco,Rock
Highway to Hell,AC/DC,Rock
Just-in Time,Bass Extremes,Rock
Me and Your Mama,Childish Gambino,Rock
My Kind Of Women ,Mac Demarco ,Rock
Paradise City,Guns N' Roses,Rock
So Long And Thanks For All The Fish,A Perfect Circle,Rock
The Alien,Dream Theater,Rock
the BLACK seminole,Lil Yachty,Rock
The Great Gig in the Sky,Pink Floyd,Rock
Time of the season,The Zombies,Rock
want you bad,The Offspring,Rock
welcome to the jungle,guns an roses,Rock
